KEY,PBS,Lo,Med,Hi,AveExpr,F,P.Value,adj.P.Val,SYMBOL
Emg1,5.011720352984722,4.950629069020042,4.95352367089462,4.788021082054399,4.925973543738446,6516.420248477192,3.741599671686262e-23,3.862274275540525e-22,Emg1
Hps5,4.314725071652906,4.307420507321141,4.3119691373551,4.450345282948279,4.346114999819356,6510.916858149538,3.764282318125762e-23,3.883311918032246e-22,Hps5
Serpinb6a,5.804612012190892,5.81446028918481,5.744653258964137,5.7580735262865055,5.780449771656586,6508.9323122917995,3.772500191947124e-23,3.8894108030300816e-22,Serpinb6a
Ubr4,8.361259841133442,8.055439409530553,8.361257210828057,8.331116453761494,8.277268228813387,6507.655318652858,3.77779894985779e-23,3.89249449525054e-22,Ubr4
Zfp318,5.536325126821302,5.660571438917659,5.579518874013898,5.712924585694335,5.622335006361798,6502.1740915847,3.800639306540286e-23,3.9136375569850434e-22,Zfp318
Mfsd1,5.305237630419077,5.377272193093798,5.245388414906886,5.256046258366729,5.295986124196623,6500.862324062135,3.806128775320476e-23,3.916479804781866e-22,Mfsd1
Tm2d2,6.069726242763622,5.81026546092018,5.8411155050921995,5.674431007614499,5.848884554097625,6500.405300131233,3.808043445688184e-23,3.916479804781866e-22,Tm2d2
Vdac2,6.594877544676983,6.285536517339452,6.371463777872474,6.356656753997543,6.402133648471613,6499.136811394706,3.8133634463910543e-23,3.919561319334425e-22,Vdac2
Ogfod1,5.018409762628929,4.911381682238092,5.003089319830885,5.0329504107591045,4.991457793864253,6496.2145479604305,3.825651590593824e-23,3.9297969170856285e-22,Ogfod1
Phf8,5.752495466570588,5.55011008005828,5.722529425748658,5.79646635484721,5.705400331806184,6495.538519197419,3.8285007213890144e-23,3.9303299858593124e-22,Phf8
Tlk2,5.526050973593964,5.674242825949731,5.678586259544324,5.575752909724039,5.613658242203014,6494.683305614292,3.8321084940044325e-23,3.9316407523341097e-22,Tlk2
Prrc2b,8.330853515911445,7.991474437014888,8.125475348665294,8.274418281605016,8.18055539579916,6491.416265901309,3.845926426957636e-23,3.9434189084191157e-22,Prrc2b
Mapk10,6.043074716371537,6.012883595267846,6.080807131335275,6.019250408336424,6.039003962827771,6490.688795363356,3.8490109857255017e-23,3.9436622150390475e-22,Mapk10
Wdr48,5.319574207639702,5.357410935679308,5.331700564230843,5.303811542421295,5.328124312492788,6490.257771829603,3.850839905240595e-23,3.9436622150390475e-22,Wdr48
Ttc9c,5.335686659687498,5.393687900617749,5.2655733422024396,5.2784219294375045,5.318342457986297,6489.464374065258,3.8542090416277705e-23,3.944717469971821e-22,Ttc9c
Smarcd2,5.481608352104261,5.387672828729375,5.331291443027916,5.420869547988606,5.405360542962541,6488.698096231395,3.8574662037185876e-23,3.945656910741141e-22,Smarcd2
Pak1ip1,5.128453567963879,4.812846894874264,5.046448947925066,4.961063576791203,4.987203246888604,6487.599767944839,3.8621402611195747e-23,3.9480436232911437e-22,Pak1ip1
Sorbs2,6.62299267575028,7.2892169040614245,6.952675530264851,6.8568671603323565,6.9304380676022275,6487.042708899656,3.864513354327819e-23,3.9480767260719154e-22,Sorbs2
Ppp1r10,5.887466704101088,5.786985214714561,5.82658289690041,5.80959111019,5.827656481476515,6484.553300081762,3.8751386603864614e-23,3.956535338059228e-22,Ppp1r10
Lamc1,6.818961040280332,6.580031989690182,6.6469550421676225,6.789043269425289,6.708747835390855,6479.158255980805,3.898280280753775e-23,3.976458507652896e-22,Lamc1
Srrm1,5.7210123429756194,5.909503007772023,5.88790262561912,5.91462431760479,5.858260573492888,6478.670105580799,3.900381922624539e-23,3.976458507652896e-22,Srrm1
Wdr5,4.979578478525281,4.908712893169705,5.076356760908585,4.978247999291589,4.98572403297379,6478.358404758295,3.901724568782559e-23,3.976458507652896e-22,Wdr5
Tubb4b,7.136818919865323,6.815193391503776,6.874294957676984,6.820231535751558,6.911634701199411,6476.252899716131,3.910807806013728e-23,3.9833088927556495e-22,Tubb4b
Hdlbp,8.792074863962231,8.751951941960321,8.638532331218933,8.640555735619019,8.705778718190126,6473.98764659767,3.9206071260851957e-23,3.9908799273191913e-22,Hdlbp
Rab4a,4.74591660178058,4.621569550078712,4.575654750638185,4.677211581006174,4.655088120875913,6472.6584937795415,3.926369970585138e-23,3.994335482138692e-22,Rab4a
Rictor,6.4036173335965465,6.697007980483159,6.757878088481182,6.6421540435085245,6.625164361517354,6471.858422074731,3.929843517931147e-23,3.9954593500268025e-22,Rictor
Xrn1,6.55215380954159,7.007359736701169,6.854725597914252,6.8565427962159795,6.817695485093248,6469.47296665857,3.9402208861938083e-23,4.0035967281584914e-22,Xrn1
Adk,5.454360177124782,5.495908974065811,5.353975878102581,5.382469568671236,5.421678649491103,6468.723089946116,3.943489499575871e-23,4.0045055622725e-22,Adk
A430033K04Rik,4.59890388905859,4.835933781359321,4.8472081245330845,4.757194589050732,4.759810096000432,6464.1056664863245,3.9636844695815266e-23,4.0225912123003374e-22,A430033K04Rik
Hax1,5.193601618753862,5.059897176411141,5.03617845973906,4.877836613541662,5.041878467111431,6461.609459704096,3.974651061347568e-23,4.031295216581445e-22,Hax1
Rrp7a,5.791086741125161,5.288338505421138,5.49003109417858,5.513940363662226,5.520849176096776,6456.82320991263,3.995775367864891e-23,4.0472554826962896e-22,Rrp7a
Phf21a,5.838038424544742,5.767850977083117,5.794597395244574,5.74606638853486,5.786638296351823,6456.648408909595,3.996549277556207e-23,4.0472554826962896e-22,Phf21a
Kdm3b,5.900377020392071,5.778271393461333,5.86014424729861,5.953071645435977,5.872966076646997,6456.4143974618355,3.997585601572312e-23,4.0472554826962896e-22,Kdm3b
Mbd2,5.606569824848173,5.543541228184233,5.546584606273695,5.417497058758977,5.52854817951627,6453.367291724654,4.0111077616411406e-23,4.058509575021063e-22,Mbd2
Clstn1,8.233084586192934,7.7335086083457245,7.913526976044793,7.998603182705328,7.969680838322196,6450.266439859781,4.0249219751520293e-23,4.0700455008926425e-22,Clstn1
Foxo3,6.750674743167854,6.72530374150545,6.820854480224691,6.80696158341663,6.775948637078655,6447.1026231492,4.039072609314028e-23,4.0795856780818217e-22,Foxo3
Tspan5,5.6178389390535735,5.584975114738295,5.459305289532745,5.584254799818822,5.5615935357858595,6446.606868572431,4.0412950788260703e-23,4.0795856780818217e-22,Tspan5
Ets2,6.83797382702988,6.594115899532106,6.623271396343343,6.571431977224428,6.65669827503244,6445.6806161819695,4.0454512072527025e-23,4.0795856780818217e-22,Ets2
